iteration,ll,alpha,beta,sigma_v,improvement
1,-0.12476897434702831,0.8773940311268873,0.48678750643906626,0.3,0.09608155571180897
2,-0.09292230081054445,0.9193173032153806,0.47171552134308387,0.3,0.03184667353648386
3,-0.07972718601738674,0.9422689853877619,0.4559423993426635,0.3,0.013195114793157714
4,-0.07214990098729547,0.9550646965499288,0.44007633989279504,0.3,0.007577285030091266
5,-0.06644911136490081,0.9624150104390063,0.42443200528632186,0.3,0.005700789622394661
6,-0.06153735925058034,0.966837310484693,0.40916760732678753,0.3,0.004911752114320468
7,-0.05708609457649694,0.9696772192967006,0.39435813364809125,0.3,0.004451264674083404
8,-0.05298468580733645,0.9716543090240357,0.38003445646874034,0.3,0.004101408769160486
